Province,Total death (person),Infections and Parasitic diseases (person),Cancer and Tumours (person),Haematopoietic immune system diseases (person),Nutritional and metabolic diseases (person),Mental illness and behavioural disorders (person),Nervous system diseases (person),Cardiovascular diseases (person),Respiratory system diseases (person),Gastrointestinal diseases (person),Diseases of the skin and subcutaneous (person),Musculoskeletal disorders (person),Urogenital tract diseases (person),Complications of pregnancy and childbirth (person),Congenital malformations and chromosomal (person),Diseases during the perinatal (person),Symptoms are vague and ill-defined conditions (person),Unintentional injuries (person),Unknown (person),Others (person)
Total,345487,11486,35732,2131,5384,1165,5482,133627,28096,7444,57,684,6341,287,6736,7589,39930,25172,25029,3115
Azerbaijan East,20877,134,2349,399,381,101,456,6770,1797,436,0,19,391,23,413,109,3328,1236,2319,216
Azerbaijan West,14006,127,2029,50,172,81,216,4833,724,166,1,14,196,29,285,238,1425,895,2330,195
Ardabil,6115,58,917,20,138,40,41,2156,310,98,0,5,110,2,99,88,1358,393,230,52
Isfahan,21937,515,2481,72,346,32,452,9313,1639,363,2,85,534,9,712,212,2037,1500,1531,102
Alborz,8574,472,669,71,95,6,144,3599,1275,187,0,5,125,2,91,315,225,486,556,251
Ilam,2270,18,221,12,28,9,3,1018,53,19,0,4,24,4,66,19,345,273,87,67
Bushehr,4010,76,260,38,54,13,42,1384,374,71,0,8,66,6,99,85,558,369,482,25
Tehran,50052,4024,5683,107,747,40,554,22224,5336,1939,0,26,1104,1,298,29,2520,2338,2992,90
Chahar Mahaal and Bakhtiari,4001,30,399,10,60,13,21,1319,210,62,0,14,42,3,121,97,813,261,479,47
Khorasan South,3697,84,233,9,23,8,52,1297,348,65,0,7,59,7,162,96,702,281,244,20
Khorasan Razavi,29781,816,3700,232,582,126,600,9803,3297,579,4,43,618,14,883,2246,2307,1977,1670,284
Khorasan North,4375,76,415,17,53,9,34,1376,337,122,0,3,65,3,307,71,673,397,380,37
Khuzestan,18006,595,1151,174,503,85,591,8929,1023,294,14,84,272,11,278,105,1179,1496,1040,182
Zanjan,4843,156,619,109,47,25,69,1719,363,109,0,9,71,8,66,135,540,322,442,34
Semnan,3218,44,326,22,40,3,61,1411,346,58,0,3,89,0,58,20,289,205,217,26
Sistan and Baluchestan,10554,499,477,151,112,86,238,2852,701,377,3,43,126,19,520,343,1536,1406,893,172
Fars,21415,352,2105,122,267,89,508,8710,1291,514,18,67,425,32,721,749,1915,2025,1280,225
Qazvin,5361,251,470,16,44,12,101,2122,385,94,0,9,57,3,52,252,673,414,389,17
Qom,5409,469,431,10,15,2,10,2271,879,104,0,3,109,0,42,104,92,379,452,37
Kurdistan,7226,68,721,22,60,30,67,2293,289,98,0,10,130,2,101,288,1900,570,511,66
Kerman,11423,341,874,98,60,33,96,4395,1573,205,3,83,119,3,79,57,1449,1233,637,85
Kermanshah,10570,244,1180,57,130,14,77,4669,697,171,1,14,198,21,140,418,868,933,613,125
Kohgiluyeh and Boyer-Ahmad,2618,13,294,7,15,9,39,927,146,43,0,13,41,11,41,79,327,285,274,54
Golestan,8296,209,922,33,227,53,89,2917,491,177,0,11,143,10,151,231,1603,609,331,89
Gilan,15569,372,1664,40,341,30,217,6104,968,210,1,35,286,1,105,35,3444,915,692,109
Lorestan,7839,186,782,42,50,26,157,3378,581,183,1,12,140,3,122,68,827,726,402,153
Mazandaran,15412,386,1966,43,373,58,190,6078,645,204,1,19,249,15,130,97,2657,1117,1122,62
Markazi,7479,93,720,36,112,12,114,2847,633,130,1,3,166,13,47,55,793,475,1178,51
Hormozgan,6438,229,367,56,55,26,57,1898,298,138,4,19,66,10,137,489,1473,678,359,79
Hamadan,9668,256,790,40,126,86,99,3187,691,166,2,10,199,21,341,373,1865,691,586,139
Yazd,4448,293,517,16,128,8,87,1828,396,62,1,4,121,1,69,86,209,287,311,24
